label,title,content
1,ari maboko polisi kubera gukoresha ibiyobyabwenge,umunyamabanga nshingwabikorwa w’akagari manwari gasigwa celestin avuga mpera z’icyi cyumweru dushoje girwa gushakisha ibicuruzwa murwanashyaka bosco wibwe bageze nzu y’uyu musore bahasanga ibiro by’urumogi bigera gasigwa avuga urumogi rugaragara aka gace kabo rukunze guturuka gasarenda y’ishyamba nyungwe icyakora bakomeje gufata ingamba zikomeye kugirango bahangane n’iri kwirakwizwa ry’urumogi twagerageje kuvugana n’inzego z’umutekano karere nyamagabe ariko ntibyadukundira eric muvara
1,abanyarwanda batuye canada bibutse abazize jenoside yakorewe abatutsi,igikorwa kwibuka kitabiriwe kandi n’abahagarariye ibihugu byabo canada n’izindi nshuti uyu muhango watangijwe n’urugendo walk to remember rwatangiriye nteko ishingamategeko canada rugera biro by’umujyi ottawa ahabereye imihango kwibuka nyuma y’indirimbo zubahiriza ibihugu byombi hakurikiyeho umunota kwibuka inzirikarengane zishwe jenoside padiri callixte kabalisa wayoboye isengesho yasabiye abahuye n’ibibazo binyuranye harimo abafashwe ngufu asaba imana gukomeza impfubyi n’abapfakazi n’abandi bagize ibibazo bikomeye uhagarariye u rwanda canada edda mukabagwiza perezida w’ishyirahamwe ry’abacitse kw’icumu rizwi kw’izina humura alain ntwali bagaragaje bibuka amateka jenoside yabaye rwanda bagamije gufata ingamba ibyabaye ntibizongere kuba ukundi nk’uko itangazo ambasade y’u rwanda canada ribivuga berekanye umuhango ukorwa ugamije kwibuka ariko abantu bakanatekereza uburyo gufasha abacitse icumu bagarutse nsanganyamatsiko y’uyu mwaka twigire mateka twubaka ejo hazaza bavuga genoside yakorewe abatutsi mateka y’ubu n’ejo hazaza itazibagirana mu muhango kwibuka kandi hatanzwe ibiganiro bibiri l’historique de l’impunit des crimes haineux au rwanda et les signes avant-coureurs du gnocide contre les tutsis cyatanzwe bwana richard nsanzabaganwa les mots qui tuent cyatanzwe prof philippe basabose nsanzabaganwa yerekanye ubwicanyi bwagiye buba ariko ubutegetsi ntibuhane abakoze ibyaha kwica aha yavuze uduce tunyuranye ubwoko bw’abatutsi bwagiye bwicwa yerekanye kwica byagiye bishyigikirwa n’ubutegetsi kurengera abatutsi babaga bibasiwe prof basabose yerekanye amagambo yagiye akoreshwa rwanda yagize uruhare ishyirwa bikorwa ry’ubwicanyi yakoze isesengura ry’ijambo ryavuzwe leon mugesera i kabaya yakanguriye abanyamuryango mrnd abereka umwanzi wabo umututsi n’abahutu mashyaka ataravugaga rumwe mrnd gahunda ziteganijwe zijyanye kwibuka zizagera kwezi gatanu zirimo amasengesho ikiriyo n’ibiganiro bizatangwa taliki mata abanyarwanda n’inshuti zabo bongeye guhura gitambo misa kwibuka cyabereye paruwasi mutagatifu yozefu gatineau quebec
5,umuhanzi fulgence nzira kugaruka ruhando rw’umuziki,mu kiganiro cyihariye twagiranye yadutangarije amafaranga amaze iminsi akorera kongo-kinshasa azamufasha gusohora indirimbo sitidiyo mu ikubitiro arashaka gukorana lick lick cyangwa masota indirimbo nyampinga ntibishoboka minsi vuba akomeza avuga azanye umuziki w’umwimerere njyana afrobeat idasondetse uzamuhesha itike guhiga abahanzi bakunzwe minsi kamichi kitoko king james knowless yadutangarije n’ubwo atagaragaraga ruhando rw’umuziki amaze iminsi akora indirimbo z’ibigo n’amasosiyete zamuhaga amafaranga atari make ku mpamvu zatumye ava ruhando rw’umuziki gihe gisaga imyaka ibiri avuga mwaka mafaranga muziki none abona abanyarwanda batangiye gukunda umuziki yagize icyanshimisha ugushimisha abakunzi banjye nanjye nkagira mbona birababaje kujya scene ukaririmba ugashishimisha abantu ejo ukaba usaba ababyeyi tike fulgence afite indoto gukora umuziki akamenyekana rwego mpuzamahanga kandi ukamuteza imbere fulgence amaze ibyumweru bitatu gihugu kongo-kinshasa yakoraga ikiraka kuririmba komisiyo y’amatora ifatanyije n’ishami loni rikorerayo nk’uko abivuga kiraka cyari icya meddy wamenyekanye cyane i goma kubera indirimbo amayobera ariko bw’amahirwe meddy yarabuze fulgence akibonye gutyo nshimiyimana leonard
1,nsanzimana etienne yishwe anizwe anatewe ibyuma,nkuko bitangazwa n’inzego police karere rutsiro ikigaragara nsanzimana etienne yishwe masaha saa mbili z’ijoro mvura nyinshi yagwaga ikindi police yemeza musore yishwe anizwe kandi abamwishe bakaba bamuteye icyuma nsanzimana etienneubusanzwe umukozi murugo yakoreraga umuyobozi w’ishuri ryisumbuye bumba ho murenge gihango urupfu rwe rwamenyekanye gitondo kane abaturage babonaga yatinze gukingura nabwo umurambo wagaragaraga umuvugizi police y’igihugo theos badege avugako police y’igihugu imaze igihe ibona imfu nyinshi bityo akaba asaba umuryango nyarwanda kuzuzanya ugatekereza kibazo kimaze igihe kigaragara bakakirwanya bagakomeza kwihesha agaciro guhora bwicanyi ubwo twandikaga nkuru inzego police zari zimaze guta yombi abantu batatu bakekwaho kuba aribo bakoze bwicanyi abafashwe muhayimana jean uzabakiriho ildephonse kayumba nsengiyumva abaturanyi nsanzimana etienne bari maboko police station gihango police karere rutsiro ivugako hari ibimenyetso bigaragara bashobora kuba aribo ababikoze umuvugizi police y’igihugu avugako hari n’amagambo bantu batatu bakekwaho bwicanyi baravuze nsanzimana etienne mbere yuko yicwagusa iperereza rikaba rigikomeje vdaste nkikabahizi
2,sekamana maxime yahetse apr ayihesha amanota atatu imbere mukura,byasabye ikipe apr fc gutegereza sekamana maxime yinjira kibuga asimbuye gice ayifasha gutahana amanota atatu nyuma gutsindira mukura victory sports - stade kigali i nyamirambo umukino ugitangira mukura yasaga nk’aho irusha apr n’ubwo igice mbere cyarangiye - habyarimana innocent yaje kugira ikibazo cy’imvune mbere gato y’uko igice mbere cy’umukino kirangira asimburwa patrick sibomana igice kabiri kigitangira blaise itangishaka yafunguye amazamu ruhande apr byakanguye mukura yongera kotsa apr igitutu buryo munota rusheshangoga michel yategeye hakizimana lewis rubuga rw’amahina iba penaliti yinjizwa neza christophe ndayishimiye nyuma gato blaise itangishaka yaje kugira ikibazo cy’invune maxime sekamana yinjira kibuga ku munota ahita atsinda icya kabiri apr imvune zakomeje kuba nyinshi mukino youssuf habimana mukura yagiraga ikibazo yasimbujwe ibrahim apr fc nayo ihita ikora impinduka rusheshangoga avamo hinjira djihad bizimana nyuma y’iminota gusa maxime sekamana yatsindiye apr icya gatutu kiba n’icya kabiri cye umukino mbere w’umunsi gatatu urangira apr fc - mukura vs ababanje kibuga mpande zombi apr fc emery mvuyekure rugwiro herve ngandu omar rusheshangoga michel emmanuel imanishimwemuhadjili hakizimana yannick mukunzi blaise itangishaka issa bigirimana innocent di maria butera andrew mukura vs jumayine hassan zagabe jean claude shyaka philbert twagirayezu fabien rugirayabo hassan ndayegamiye abdou niyonzima ally habimana yussuf harerimana lewis cyiza hussein ndayishimiye christophe yanditswe lucky van rukundomuhaburarw
3,abafite amazu i nyagatare barasabwa kwishyura umusoro nyungu y’ubukode vuba,abaturage bemera gusora ariko ntibavuga rumwe n’ubuyobozi buryo bikorwamo n’amafaranga bishyurwa kuko hari ubuyobozi bufata nk’igice cy’umujyi abaturage bakahafata nk’icyaro bitewe n’imirimo ihakorerwa urugero nko gasozi bita ruramira ubuyobozi bw’akagali nyagatare bwatumikiraga abaturage bahatuye bibaza bagomba gusora kimwe n’abafite amazu mujyi nyagatare kayumba eugene umugenzuzi w’imisoro karere nyagatare yasubije avuga yemeranywa n’abaturage ruramira isa n’icyaro ariko atarenga mabwiriza kuko akagali nyagatare kose gafatwa nk’umujyi abaturage basabye ubuyobozi kureba bajya bakora badahutaje uburenganzira bamwe baturage urugero uburyo igihe kwishyuza imisoro kigeze usanga abashinzwe iby’imisoro bitura bacuruzi batabateguje bagafunga amazu bakoreramo kandi barubahirije basabwa byose umwe basoreshwa karere nyagatare yagize ko tuba twishyuye imisoro dusabwa harimo n’ipatanti mwajya kwaka imisoro nyungu kuyibaza nyir’amazu mukaba twe muza mugafungira kureba nyir’amazu ibicuruzwa byacu bikangirika mwumva karengane karimo uretse umusoro nyungu y’ubukode indi misoro abaturage basabwa gutanga vuba bishoboka imisoro y’ipatanti y’ibabanza n’amapatanti y’ubucuruzi ku bishyura umusoro w’ipatanti basabwe kutarenza ukwezi werurwe niyonzima oswald
1,ishavu ry’abanyarwanda ritubere umusingi kwiyubaka umuyobozi w’umurenge bwishyura,umunyamabanga nshingwabikorwa w’umurenge bwishyura niyonsaba cyriaque wifatanyije n’abaturage b’imidugudu nyarurembo karutete yagize ishavu ry’abanyarwanda ritubere umusingi kwiyubaka aha niyonsaba yungaga nsanganyamatsiko yahariwe mwaka igira iti twigire mateka turusheho kubaka ejo hazaza niyonsaba yaboneyeho akanya kunenga politike yazanywe n’abazungu gushyamiranya abantu yatunze agatoki ababiligi baje rwanda bagasanga abanyarwanda babanye neza bagasiga barukongeje n’ikintu kigaragara barusigiye umuyobozi w’umurenge bwishyura yagize urugero nk’aha kibuye basize bubatse gereza yonyine nk’aho abanyakibuye bakeneye hatanzwe ubuhamya bw’umwe bacitse icumu kibuye mukangoga emelita ufite imyaka gusa igihe jenoside yabaga yari afite ikiniga kinshi ariko yabashije kuvuga make byamugendekeye yabisobanuye magambo ikintu ntazigera nibagirwa igihe papa yampamagaye arangije guteka inkono y’ibijumba nituze aduhe ifunguro nyuma namubajije impamvu atubwiye atyo ambwira bagiye kutwica kuva bahise badutera turatatanangenda nomongana ntazi ngana hashize akanya gato mbona iwacu barahatwitse narinihishe mbona interahamwe zizanye papa kumwe murumuna papa afite bibiliya barayimwaka barayica amanika amaboko hejuru agira mana bantu ubababarire ntibazi barimo gukora ako kanya bahita bamutema amaboko murumuna babatsinda ahonanjye bashatse kunyica inshuro nyinshi buryo nageze mera nk’ikinya nkajya mbabwira nabi nti nimukore mushakaibyambayeho birebire mbivuze bwakwira bugacyagusa ndashimira imana nkiriho nk’uko mukangoga yakomeje abitangamo ubuhamya mukangoga emelita yasigaye wenyine muryango w’abana nyina bamwishe atwite inda cyenda se n’abavandimwe barabamaze ubu umubyeyi w’abana babili umuhungu w’imyaka n’imfura y’umukobwa w’imyaka ubura umwaka umwe angane mama igihe jenoside yabaga nyuma y’ubuhamya mukangoga hatanzwe n’ikiganiro ruhare leta yagize jenoside umwe bacitse icumu watanze ikiganiro yasobanuye ukuntu abatutsi kibuye kimwe n’ahandi hose rwanda bagiye bahezwa gahunda leta y’icyo gihe umuntu akabaho atazi bucya kugeza igihe jenoside ibereye n’uwo bitaga inshuti n’umuturanyi arabahinduka umuhango wabimburiwe n’urugendo rwahereye rwibutso jenoside ruri iruhande rw’ahahoze sitade gatwaro mujyi kibuye kugera mudugudu nyarurembo ahabereye ibiganiro gukurikira ijambo ry’umukuru w’igihugu yahariye munsi radiyo televiziyo abari babashije gukusanya amafaranga ibihumbi gutera inkunga abacitse icumu mu rwego rw’akarere gutangiza icyunamo byabereye murenge mubuga umuyobozi w’akarere karongi kayumba bernard n’abandi bayobozi bagiye kwifatanya n’abandi kwibuka nshuro jenoside yakorewe abatutsi gasana marcellin
1,kongo angola byiyemeje gufasha u rwanda uganda gukemura ikibazo bifitanye,mu nama yahuje abakuru b’ibihugu by’u rwanda uganda repubulika demukarasi kongo angola biyemeje gushyigikirana bikorwa bigamije gushakira umuti ikibazo cy’amahoro n’umutekano bihugu n’akarere k’ibiyaga bigari rusange mu nama yahuje abakuru b’ibihugu by’u rwanda uganda repubulika demukarasi kongo angola biyemeje gushyigikirana bikorwa bigamije gushakira umuti ikibazo cy’amahoro n’umutekano bihugu n’akarere k’ibiyaga bigari rusange kuri nyakanga nibwo i luanda gihugu cy’ angola habereye inama yibanze kibazo cy’ umutekano karere iyi nama yahuje bakuru b’ibihugu yatumijwe perezida angola jao laurenco yitabiriwe perezida w’ u rwanda paul kagame uwa uganda yoweli museveni uwa repubulika demukarasi kongo felix tshisekediitangazo ryakurikiye nama rivuga ibiganiro by’ bakuru b’ ibihugu byibanze mahoro n’ umutekano n’ imibanire y’ bihugu bine abakuru b’ bihugu bagaragaje bashyigikiye kongo rugamba guhashya inyeshyamba ziba kongo zigahungabanya umutekano wayo n’ uw’ ibihugu by’ abaturanyi umwanzuro kane ugira uti abakuru b’ ibihugu bashimangiye akamaro k’ ibiganiro bihoraho birimo kuvugisha ukuri bemeza byongererwa imbaraga rwego rw’ igihugu rwego rw’ akarere hagamijwe gushimangira akamaro k’ amahoro bufatanye bukungu umwanzuro gatanu uvuga abakuru b’ bihugu bashyigikiye kwamagana imitwe iteza umutekano karere ku kibazo cy’ umubano utifashe neza hagati y’ u rwanda uganda abakuru b’ bihugu bafashe umwanzuro gushyigikira ibiganiro hagati yabyo umwanzuro ugira uti hashingiwe buryo umubano wifashe hagati y’ u rwanda uganda inama ishyigikiye ubushake bw’ impande zombi gukomeza gushakira umuti ikibazo gihari ni urwo rwego nama ishyigikiye ubushake repubulika demukarasi kongo n’ ubwa angola gufasha nzira perezida uganda butumwa yashyize twitter nyuma y’ nama yavuze uganda ishyigikiye umugambi gushimangira amahoro n’ umutekano karere ndetse ashyigikiye gahunda z’ ibihugu gushakira ineza ibihugu bukungu n’ imibereho myiza binyuze kwishyirahamwe mu mpera gicurasi nibwo perezida laurenco tshisekedi kagame bemeranyije guhuza imbaraga gushakira umuti ikibazo cy’ inyeshyamba uyu munsi perezida museveni yatangaje azatanga umusanzu gushyigikira gahunda kurwanya inyeshyamba zihungabanya umutekano w’ akarere iyi nama yatumijwe perezida laurenco angola
2,tour du rwanda kigali-rubavu ikipe y’u rwanda yabaye iya mbere,kwitwara neza kw’ikipe karisimbi byaturutse bakinnyi bakoresheje imbaraga nyinshi gasore hategeka waje mwanya kabiri ruhumuriza abraham waje mwanya gatatu mu kiciro cyabanje ruhumuriza yaje mwanya ku mukinnyi giti cye umunyamerika joseph rosskopf ukinira team type waje mwanya mbere yawusimbuyeho mugenzi kiel reijnen waje mwanya kane muri rusange kugeza tour of rwanda iyobowe n’umunyamerika rosskopf joseph ukinira team type amaze gukoresha amasaha iminota n’amasegonda akurikiwe hategeka gasore karisimbi umaze gukoresha amasaha iminota n’amasegonda mwanya gatatu haza ruhumuriza abraham karisimbi umaze gukoresha amasaha iminota n’amasegonda adrien niyonshuri watangiye yitwara neza yasubiye inyuma ho gato kuko mwanya akaba amaze gukoresha amasaha iminota n’amasegonda ku rutonde rw’uko amakipe akurikirana ikipe karisimbi y’u rwanda mwanya mbere igice kane cy’iri siganwa cyabaye munsi abasiganwa bahagurutse i rubavu berekeza i muhanga bakaza gusiganwa intera ireshya n’ibirometero ejo bazahaguruka i muhanga bajya i huye gice gatanu theoneste nisingizwe
3,u rwanda rwiyemeje kuzamura ubwikorezi bw’indege,nzahabwanimana yafunguraga inama y’iminsi ibiri mugaragaro yiga bijyanye n’ubwikorezi gucunga umutekano ndege yagize guverinoma yihaye intego kwita bwikozi bw’indege kandi izakomeza gukorana n’abafatanyabikorwa kuzamura imikorere y’uru rwego iyi nama kubera i kigali yatangiye kuwa mbere tariki ukwakira yitabiriwe n’abakozi bakora nzego zijyanye n’ubwikorezi bw’indege rwanda yateguwe n’urwego mpuzamahanga ry’indege gisivile ruhuza ibihugu afurika nyanja y’abahinde icao-afi bufatanye leta y’u rwanda nzahabwanimana yavuze ubwikorezi bw’indege ingenzi gihugu nk’u rwanda kidakora nyanja yibukije u rwanda igihugu kigendwa naba mukerarugendo benshi kandi ubukerarugendo bukaba butanga umusanzu kuzamura ubukungu bw’igihugu kugeza mukerarugendo barenga bakoresha ikirere kuza gihugu bukerarugendo mu rwanda hakorera ibigo bitandukanye bikora ubwikorezi kirere nk’ikigo cy’u rwanda gutwara abantu n’ibintu ndege rwandair ndetse hakorera n’ibigo bitwara abantu n’ibintu kirere klm brussels airlinesmu mpera z’uku kwezi kanama rwandair yazanye mbere mugabane w’afurika indege mbere zihanitse bwoko boeing - umunyamakuru kigali today
