label,kin_label,en_label,url,title,content
5,imyidagaduro,entertainment,http://www.igihe.com/imyidagaduro/article/namukunze-mubonye-acuranga-mu-kabari-inkuru-y-urukundo-rw-umuryango-utunzwe-no,Inkuru y’urukundo rwa Iyakare na Nyirandayishimiye bahujwe no gucuranga igisope mu kabari," Iri tsinda abarizi bakunze kubonamo umugabo w’ibigango ufite igikara gisa neza n’umusatsi mwinshi uzi gucuranga ibikoresho hafi ya byose bya muzika akagerekaho no kuririmba. Uyu mugabo aririmbana n’umugore we ufite ijwi ryihariye akanagira ubuhanga mu gucuranga gitari. Uwo mugabo yitwa Iyakare Wenceslas [Rickson] akaba umuyobozi wanashinze iri tsinda, ribarizwamo n’umugore we Consolée Nyirandashimye. Bamaze imyaka ibiri babana nk’umugore n’umugabo ndetse banamaze kwibaruka imfura z’impanga. Mu kiganiro na IGIHE, Iyakare yavuze ko ahura bwa mbere n’umugore we byari mu 2018 ubwo yamusangaga ari gucuranga mu kabari. Ati “Nari nsanzwe muzi kuri Youtube acuranga inanga, umunsi umwe ari ku wa Gatanu sinari nakoze, nanjye nsohoka nk’abandi basore, icyo gihe aho nari nasohokeye nahasanze umwana w’umukobwa ucuranga neza ngira igitekerezo cyo kumuzana mu itsinda nari mfite.” Nyuma yo kuzana Nyirandayishimiye mu itsinda rye, hagati ye na Iyakare urukundo rwatangiye kuziramo, birangira biyemeje kubana. Ati “Hashize nk’amezi atandatu byaje guhinduka bizamo urukundo duhita twiyemeza kubana.” Nyirandayishimiye avuga ko na we ubwo yageraga mu itsinda rya Iyakare yari yaramaze gufatwa n’ubwiza bw’uwo musore ndetse n’imico ye byatumye birangira bakundanye. Yaba umugabo cyangwa umugore bemeza ko kuba bakorana bibafasha mu kazi kabo, bakajya inama y’uko bakanoza biboroheye. Nyirandayishimiye yize umuziki mu ishuri rya muzika rya Nyundo akaba umwe mu mfura zaryo mu gihe Iyakare na we yawize ahantu hatandukanye harimo Kigali Music School no mu mujyi wa Kampala muri Uganda. Kugeza ubu batunzwe no gukora umuziki ndetse bavuga ko ubuzima bwabo mirongo inani ku ijana babufashwamo n’ibyo bakura mu muziki. His voice band mu minsi ishize yitabiriye irushanwa ry’amatsinda y’abacuranzi ryateguwe na Marriott Hotel bitwara neza kuko nubwo bategukanye igihembo ariko bari mu bageze mu byiciro bya nyuma. Ikiganiro n’abagize umuryango utunzwe no gucuranga icyo benshi bita ""Igisope"""
1,politiki,politic,http://www.igihe.com/amakuru/muri-afurika/article/uganda-abapolisikazi-ntibazongera-gusaba-uruhushya-rwo-kurongorwa-n-umusivile,Uganda: Abapolisikazi bakuriweho gusaba uburenganzira bwo gushyingiranwa n’umusivile," Muri aya mavugurura kandi abapolisikazi bo mu rwego rwo hejuru ntibazongera gusuhuzwa hakoreshejwe ijambo ‘Sir’. Mu bindi byemejwe ni uko impuzankano za Polisi ya Uganda zigiye gusubirwamo nyuma y’aho bigaragariye ko abagore bambaraga amapantalo adoze nk’ay’abagabo. Kuba umupolisikazi wo muri Uganda washakaga gushyingiranwa n’umusivile yabanzaga gusaba uruhushya, biteganywa n’amabwiriza yo 1984. Umuyobozi Wungirije wa Polisi ya Uganda, Asan Kasingye, yabwiye Daily Monitor ko barangije kuvugurura aya mategeko wasanganga ahanini atsikamira abagore. Ati “Mu mategeko ariho agenga polisi aheruka kuvugururwa mu 1984, umupolisikazi yagombaga gusaba uruhushya umuyobozi mukuru wa polisi kugira ngo ashyingiranwe n’umusivile, umupolisikazi yafatwaga nka ‘Sir’, izi ngingo zose zivangura zakuwe mu mategeko avuguruye azashyirwa ku mugaragaro mu kwezi gutaha.” Izi mpinduka kandi zizaha abapolisikazi amahirwe yo kujya mu myanya yo hejuru, kuko n’ubwo ijanisha ryabo muri polisi ringana na 20%, abenshi ni abapolisi bato. Batandatu bonyine nibo bafite ipeti rya komiseri gusubiza hejuru."
1,politiki,politic,http://www.igihe.com/diaspora/ibikorwa/article/u-bufaransa-abanyarwanda-bararimbanyije-mu-myiteguro-ya-rwanda-day-2019,U Bufaransa: Abanyarwanda bararimbanyije mu myiteguro ya Rwanda Day 2019," Abanyarwanda batuye mu bice bitandukanye by’Isi bararimbanyije mu myiteguro yo kwerekeza ahazabera Rwanda Day 2019. Abo mu Bufaransa bakomeje gushishikarizwa kuzitabira uwo munsi ufite amateka afatika mu buzima bw’Abanyarwanda n’igihugu cyabibarutse. Mu butumwa bwe, Ambasaderi w’u Rwanda mu Bufaransa, Kabale Jacques, yakanguriye Abanyarwanda kwiyandikisha hakiri kare kuko bizafasha mu myiteguro yo kubakira. Itangazo yashyizeho umukono ryo ku wa 7 Kanama 2019, rigira riti “Ambasade y’u Rwanda iramenyesha Abanyarwanda baba mu Bufaransa, u Butaliyani, Espagne, Portugal na Monaco ko Rwanda Day izabera mu Mujyi wa Bonn mu Budage ku wa 24 Kanama 2019.’’ Rikomeza rivuga ko “Ambasade iboneyeho gutumira abanyamuryango bayo baba mu Bufaransa kwitabira icyo gikorwa cy’ingenzi no kwiyandikisha.’’ Rwanda Day ni umwanya mwiza wo kungurana ibitekerezo, abayitabira bahabwa igihe cyo kubaza ibibazo Umukuru w’Igihugu, gutanga ibitekerezo n’ibyifuzo bitandukanye. Abanyarwanda baba mu Bufaransa bakiriye Rwanda Day yabereye i Paris mu 2011. Icyo gihe yitabiriwe n’abantu 3700 barimo Abanyarwanda n’inshuti zabo. Insanganyamatsiko yagiraga iti “Urungano rufite agaciro. Icyerekezo cy’Iterambere.” Muri iyi Rwanda Day, mu butumwa Perezida Kagame yahaye abayitabiriye yibanze ku Rwanda rubereye Abanyarwanda. Yagize ati “U Rwanda rwa none n’urw’ahazaza ni uruha bose amahirwe angana, atuma abatishoboye badasigara inyuma ahubwo bagira uruhare mu iterambere ryacu.” Rwanda Day igiye kuba ku nshuro ya 10 yitezwemo abantu baturutse mu bice bitandukanye by’Isi by’umwihariko abo ku Mugabane w’u Burayi, bazaba baturutse imihanda yose itandukanye. Abanyarwanda banashyiriweho uburyo bwo kwiyandikisha, aho ushobora kunyura hano. Abashaka ibindi bisobanuro basura urubuga rwa Ambasade y’u Rwanda mu Bufaransa cyangwa bakifashisha nimero 0171199272/0171199193 cyangwa bakandika ubutumwa kuri email, [email protected]"
5,imyidagaduro,entertainment,http://muhabura.rw/amakuru/imyidagaduro/article/ubyo-utari-uzi-kuri-nyakwigendera-mowzey-radio,Ibyo utari uzi kuri Nyakwigendera  Mowzey Radio[REBA AMAFOTO]," Nubwo yabaye icyamamare muri muzika, ngo burya cyera ku ishuri yari umuntu wiberagaho  mu buzima  acecetse ariko ari umuhanga  by’intangarugero,gusa ngo yishimirwaga n’abantu aho yabaga kwa Nyirarume mu gace ka Bukaya muri Jinja.nkuko Stephen Wakaza  na  Michael  Kaaya  babanye mu buzima bw’ishuri babisobanura.
 
Inshuti  ye ya cyera biganaga kwishuri  ubu akaba ari umwarimu mu ishuri ryisumbuye,ngo yibuka ukuntu  indirimbo  nka tukikore nera, Byagana, Gutamiza, Bread and butter,arizo  yahereyeho  yandika  kandi  ngo uwatumye  akunda  muzika ni umwarimu wa mwigishije mu ishuri  ry’incucye. Stephen Wakaza Yagize ati“Ndabyibuka yarambwiye  ngo  umwarimu we wo mu ishuri ry’incucye yamuhinduriye ubuzima.Umwarimu  yaramubwiye ngo azaba umunyamuzika  mwiza"". Wakaza yakomeje agira ati"" Uwo twiganye  turi  n’inshuti  agiye  akiri  muto! Kwishuri  ku  munsi  w’ababyeyi,yashoboraga  kuririmba  abari  aho  bose  bakanyeganyega""  Kuri  Wakaza, ngo Radio yize mu ishuri  ry’isumbuye  rya   Holy Cross Lake  View  Senior  Secondary  School   iri mu karere ka Jinja, guturuka mu wa mbere kugeza mu wa kane. Ngo ni kur’iri shuri  bicaye  ku ntebe  imwe.Ngo yahise ajya  gukomereza  icyiciro  cya  kabiri cy’amashuri yisumbuye  muri  Kiira College Butiki. Ati""Yahoraga  aza  mu  myanya  itanu  yambere  mu  ishuri.yari  umuhanga  mu ubuvanganzo,icyongereza  n’amuzika. Niwe  wenyine  yumvaga  amasomo  ya muzika,aho kuri  twe  gukoresha  amanota  yo  muri  muzika  byadukomereraga. Nku  muntu  twicaranaga yanyigishije  uburyo  nabasha  kumenya  kwandika  inkuru  ziryoshye .Ibyo  byari  bikomeye kurijye.Nanjye  ariko  namufashaga  tugeze  mu  isomo  ry’Imibare"".  
 Nubwo  muzika yamugize  icyamamare,kwishuri yabagaho mu buzima acecetse. gusa ngo yishimirwaga  n’abantu  aho  yabaga  kwa  Nyirarume  mu gace  ka Bukaya  muri  Jinja. Wakaza  ati“Yahoraga  aba  uwambere  mu marushanwa  ya  muzika  mu bigo  byose by’amashuri  ku  rwego  rw’akarere.Yakundaga  kuba  ari  kumwe  cyane  n’abanyeshuri b’igitsina  gore.ntiwashoboraga  kumubona  ku kibuga  cy’umupira  w’amaguru  ahubwo ntabwo  byatunguranaga  umubonye  ku  kibuga  cya  neti  boro (Net Ball)"".
 Nkuko  bikomeza  bivugwa  na Wakaza, Radio niwe  yayoboraga muzika muri kiliziya Gaturika.yasobanuye  Radio nku  umuririmbyi  wa mbere  ndetse  akaba n’umuhimbyi  w’indirimbo ku  gihe  cyabo. ati ""yakundaga ibijyanye  n’ubugeni  kandi  yari  umunyabugeni  mwiza "". yongeraho kandi  ko  yigeze  kwegukana  isoko  ryo  gukora  ibishushanyo  muri  Kampala. Uwobiganye  Michael  Kaaya  mu  nyandiko yakoze  yagize ati""Twabyutse  twumva  inkuru y’inca  mugongo  yo  kubura  icyamamare  cyacu  Radio.Azahora  iteka  yibukwa.Yayoboraga ihuriro  ry’urubyiruko  rw’abanyeshuri (YCS students) kandi  buri  gihe  twahoraga  twegukana  ibihembo. yari  umunyeshuri  usobanutse  kandi  ufite  ubuzima  bwuzuye. Fr Picavet, ihangane  ubuze  umwana  wawe,  Sr  Mary  umunyeshuri  wawe  yajyanye  n’impano  zose, Dutakaje  impano.umwe  mu  baririmba  by’umwimerere  muri  Uganda"".  
Aba ni Abanyeshuri bo kuri Holy Cross Lake  View  aho yize icyiciro cya kabiri cy’amashuri yisumbuye
 Abinyujije  k’urukuta  rwa  Facebook  ya New Vision  Liz  Elder, Ati"" Igihe  wowe  na  weasel  mwagaragaye  ku  ruhando  rwa  muzika, uruganda  rwa  muzika   ntirwari  rumeze neza. Umuziki  w’abahanzi  bacye  bari  bakunzwe  kuri  icyo  gihe  wageze  aho  ubura umwimerere,  nta  nyungu  ndetse  waravuye  ku  gihe. Mwembi  mwageze  ku  ruhando  rwa muzika  muhita  mutuma  uruganda  rwamuzika  rusubira  ibuzima  ruva  ibuzimu. Mwazanye irushanwa  ry’indirimbo  nshya  zitanga  ibyishimo."" Perezida  Yoweri  Kaguta  Museveni  abinyujije  kuri  twita  yagize  ati""  Havuzwe  ibyerekeranye n’urupfu  rw’umuhanzi  Moses  Ssekibogo  uzwi  ku  izina  rya  Mowzey  Radio.Nagize ubufasha  ntanga  bwo  ku  muvuza  nizeye  ko  azakira ! yari  umwana  muto  w’impano ndetse  n’ahazaza  he  hari  imbere"". Juliana  Kanyomozi  n’ikiniga  kinshi  kuri  twita ati""Ntushobora  kugenda  utyo!. Kubera  iki ?"". Ibindi  wamenya  byaranze  Nyakwigendera
 1.Mu  2008 Yarangije  kaminuza  ya  Makerere  mu  ishami  rya  Busikoroji (Psychology) kuri  buruse  ya reta 2.Muri  2004 yajyanywe  kwa  Jose  Chameleone  ngo  batangire  gukorana  abifashijwemo    n’umugabo  witwa  Chagga. 3.Radio  yandikaga  indirimbo   zirenga  enye (4) mu  cyumweru,byamutwaraga   iminota  30 yo kwandika   indirimbo  ikarangira.  
Nyakwigendera ari kumwe na Weasel bari kwishuri 
 Uyu ni umugorewe ba byaranye Liliani Mbabazi bafitanye abana batatu

Abapfakazi ba Radio aribo, Lilian Mbabazi, Jennifer Robinson n’ abana babo

Lilian Mbabazi ari kumwe n’abana yabyaranye na Radio aribo  Asante na  Ayana Kazooba Sekibogo


Umupfakazi wa Radio w’umuzungukazi Jeniffer Robinson hamwe n’umwana we Sekibogo Leo Njovu


Lilian Mbabazi n’umwana we Ayana Kazooba Sekibogo arimo gusengera umubyeyi we  Yanditswe na Habarurema Djamali
 "
5,imyidagaduro,entertainment,http://www.igihe.com/imyidagaduro/article/nelly-kelba-umuhanzi-mushya-uhanze-amaso-isoko-mpuzamahanga,"Nelly Kelba, umuhanzi mushya uhanze amaso isoko mpuzamahanga"," Uyu musore yatangiye gukora umuziki we mu ntangiriro za 2019. Mbere yari asanzwe ari umuririmbyi wa karaoke aho yakoranaga na band no mu bindi birori bitandukanye nk’ubukwe. Ubusanzwe yitwa Dusingizimana Clebert Nelly. Yavukiye mu Karere ka Rubavu, atuye i Kigali ari naho akorera umuziki we wibanda ku njyana ya RnB, Afro-Zouk na Afropop. Aherutse icyiciro cya Kabiri muri kaminuza mu Ishami ry’Ikoranabuhanga. Yabwiye IGIHE ko intego ye mu muziki ari ugukora cyane akamenyekanisha impano ye ikagera kure ikanamubyarira umusaruro. Ati “Ikintu cya mbere numva nshyize imbere ni ugukora ibihangano bifasha benshi mu Rwanda. Nshaka gukora umuziki ku buryo nzagera ku isoko mpuzamahanga, ntabwo byoroshye ariko niyo ntumbero yanjye.” Yemeza ko n’ubwo atari yatangira gusarura mu muziki ariko yizeye ko uko iminsi izagenda yicuma ariwo azakora ukaba akazi ke ka buri munsi kamutunze we n’umuryango we. Aheruka gushyira hanze indirimbo nshya yitwa ‘Ndatuje’ irimo amagambo y’urukundo agaragaza uburyo umuntu atuza iyo yahisemo neza umukunzi bazabana kugeza gupfa. Akaba agira Inama abashaka abakunzi kubanza gushishoza kuko ibishashagirana siko byose biba Ari zahabu. Amajwi yayo yatunganyirijwe muri Touch music akorwa na Trackslyayer, mu gihe amashusho yakozwe na Fab lab. Kugeza ubu afite indirimbo enye , harimo nk’iyitwa ‘Uzaperereze’ yakoranye na Mc Tino, ‘Ijana Ku Ijana’, ‘Guaranty’ ndetse na ‘Ndatuje’ aheruka gushyira hanze."
11,iyobokamana,religion,http://www.igihe.com/iyobokamana/muzika/article/kanuma-jean-damascene-yashyize-hanze-indirimbo-nshya-yise-nkurya-munsi,Kanuma Jean Damascène yashyize hanze indirimbo nshya yise ‘Nkurya Munsi’," Imijyi myinshi muri Amerika no hanze yayo irimo imyigaragambyo ikomeye yamagana irondaruhu nyuma y’urupfu rwa Floyd wishwe mu Cyumweru gishize, bikozwe n’umupolisi wamushikamiye akoresheje ivi kugeza aheze umwuka. Kuri uyu wa Gatatu Papa Francis yavuze ko irondaruhu atari iryo kwihanganira, ariko yongeraho ko ubugizi bwa nabi nabwo ari inzira yo kwiyangiza no gusenya. Yavuze ko urupfu rwa Floyd rubabaje ndetse ko ari kumusengera n’abandi bose bapfuye bazize “icyaha cy’ivanguramoko’. Yagize ati “Nshuti zanjye ntabwo twakwihanganira cyangwa ngo twirengagize irondaruhu n’ihezwa ry’ubwoko bwose, hanyuma ngo tuvuge ko turengera igitinyiro cy’ubuzima bwa muntu.” Agaruka ku myigaragambyo yagaragayemo ubugizi bwa nabi imaze iminsi ikorwa muri Amerika, Papa yagize ati “Ni nako kandi tugomba kumenya ko ubugizi bwa nabi bumaze iminsi bwigaragaza, ari uburyo bwo kwiyangiza no kwitsinda. Nta na kimwe wageraho ukoresheje ubugizi bwa nabi ahubwo wangiza byinshi.” Papa Francis yasabye abanyamerika kwiragiza Imana ikabafasha kugarura amahoro n’ubwiyunge."
5,imyidagaduro,entertainment,http://muhabura.rw/amakuru/imyidagaduro/article/ibyamamare-clever-j-na-rafiki-cogastyle-bazataramira-muri,Ibyamamare Clever J na Rafiki CogaStyle  bazataramira muri ZAG NUT Bar and Restaurant Kimisagara kuri iki Cyumweru," Umuhanzi Clever J wabiciye bigacika muri Uganda ndetse no muri aka karere ka Afurika y’Uburasirazuba abifashijwemo n’indirimbo nk’iyitwa Fanya Kazi yakunzwe cyane hano mu Rwanda n’izindi zitandukanye kuri Iki Cyumweru cyo ku wa 19 Kamena 2016 azaba ataramira Abanyarwanda mu kabyiniro kazwi nka ZAG NUT Bar and Restaurant iherereye Kimisagara mu karere ka Nyarugenge hano I Kigali. Ni mu rwego rwo gushimisha abasanzwe babyinira muri Zag Nut dore ko usibye kuba ari Bar na Restaurant basanzwe bafite n’akabyiniro ndetse na gahunda yo kuzana abahanzi kugira ngo bahure n’Abafana babo baganire banifotozanye kuri bamwe baba bashaka kwifotozanya n’Ibyamamare bakunda haba hano mu Rwanda ndetse no hanze yaho, Akaba ariyo mpamvu bahisemo kuzana uyu muhanzi Clever J benshi bifuzaga kubona.  Uwizeyimana Clement "
3,ubukungu,economy,http://www.igihe.com/ubukungu/article/gisubizo-inguzanyo-ku-mushahara-itagira-ingwate-ikomeje-gufasha-benshi-mu,"‘Gisubizo’, inguzanyo ku mushahara itagira ingwate ikomeje gufasha benshi mu bakiliya ba Cogebanque"," Gisubizo Loan Express ni inguzanyo Cogebanque itanga ku bakiliya bayo babona umushahara wa buri kwezi. Ni inguzanyo ikubye inshuro zigera kuri 15 z’umushahara umuntu ahembwa ku kwezi, na we akagenda yishyura agera kuri 50% by’umushahara we buri kwezi. Usabye iyi nguzanyo, ayibona mu gihe kitarenze iminsi mike iyo yujuje ibisabwa. Nka banki Nyarwanda yiyemeje gufatanya n’Abanyarwanda mu rugendo rw’ubukungu, Cogebanque itangaza ko muri ‘Gisubizo Loan Express’, ufashe miliyoni eshanu nta ngwate atanga naho ufashe arenze ayo akayitanga ariko byose bigakorwa mu buryo bumworoheye. Umuyobozi ushinzwe Amashami, Pierre Seruhungo Nsengiyumva, yavuze ko ari serivisi bongeye mu zo batanga nyuma yo kubona ko ikenewe ku bakiliya bayo. Ati “Intego y’iyi gahunda ni ukwereka abakiliya bacu ko tubaha agaciro kandi tubafasha gukemura ibibazo byabo byihutirwa cyangwa bitunguranye.” Yavuze ko ari gahunda yakiriwe neza kuva abakiliya bayimenyeshwa kandi ko bari kwitabira gusaba iyo nguzanyo. Hari n’abamaze kuyibona bari kuyikoresha. Usaba iyo nguzanyo asabwa gusa kuba ari umukozi ufite amasezerano y’akazi, umushahara we awuhemberwa muri Cogebanque. Cogebanque itangaza ko iyo nguzanyo, itangwa mu gihe gito bijyanye n’impamvu yayishyizeho yo gukemura ibibazo byihutirwa cyangwa bitunguranye umuntu ashobora kugira. Iteganya ko inguzanyo nk’iyo iba ije gufasha umuntu utunguwe n’ikibazo kidasanzwe nk’urugendo rwa kure, gukenera kugura ibikoresho byo mu nzu, kwishyura amafaranga y’ishuri, gukoresha imodoka, fagitire zo kwa muganga n’ibindi. Nsengiyumva ati “Ni serivisi nziza kubera ko kuyisaba bitwara igihe gito kitarambira abakiliya iyo bigeze ku kwita ku gukemura ibibazo byabo.” Gisubizo Loan Express iri gutangwa mu buryo buvuguruye ishobora kwishyurwa mu myaka itanu mu gihe kuyibona bifata iminsi mike ku wujuje ibisabwa. Iyo umukiliya ashaka kwishyura inguzanyo mbere y’igihe, nta bundi bwishyu bw’inyongera asabwa yaba yishyura yose cyangwa igice. Umukiliya ashobora gukurikirana imiterere y’uburyo bwo kwishyura kandi akoresheje porogaramu ya CogemBank. Mu gufatanya n’Abanyarwanda mu rugendo rw’ubukungu no kubegereza serivisi zayo, Cogebanque iherutse gufungura amashami mashya mu turere twa Ngoma, Kirehe, Bugesera na Rubavu (Mahoko). Kubegereza sirivisi hose mu gihugu bijyana no gutanga inguzanyo zitandukanye mu buryo bworoheye abakiliya. Cogebanque Plc yemewe nka Banki y’Ubucuruzi na Banki Nkuru y’u Rwanda (BNR) mu 1999, itangira gukora ku wa 17 Nyakanga muri uwo mwaka. Ifite amashami 28 mu gihugu hose aho ifite ibyuma bya ATM 34, aba-agents barenga 600 bayifasha gutanga serivisi zo gufunguza konti, kubitsa no kubikuza zirimo n’izifashisha ikoranabuhanga binyuze muri Internet Banking, Mobile Banking, smart cash card n’amakarita ya MasterCard (Debit, Credit na Prepaid) afasha abayakoresha kwishyura no kubikuza ahantu harenga miliyoni 36 ku Isi yose."
5,imyidagaduro,entertainment,http://kigalipost.com/Yavugishije-Jay-Z-imbere-ya-Beyonce-biramurakaza-aterwa-ubwoba-bwo-kwicwa.html,"
Yavugishije Jay Z imbere ya Beyoncé biramurakaza, aterwa ubwoba bwo kwicwa
"," Beyoncé na Jay Z bagaragaye ku mukino wa NBA. Mu mashusho yabo yakwirakwijwe ku mbuga nkoranyambaga hagaragayemo umugore utahwemye gukomeza kuvugisha Jay Z yirengagije Beyonce wari ubicaye hagati, ibitabuze kurakaza cyane uyu muririmbyikazi. Uyu mugore waje kumenyekana ko ari Madamu Nicole Curran, umugore wa nyir’ikipe ya Golden State Warriors, ntiyorohewe na gato nyuma y’uko aya mashusho ashyizwe ku mbuga nkoranyambaga zitandukanye nka Twitter na Instagram, dore ko hari n’abatatinye kumubwira ko akwiriye kwicwa.

 Uyu mugore yatewe ubwoba bwo kwicwa kuko yasuzuguye akanababaza Beyoncé  Nubwo aya mashusho agishyirwa ku mbuga nkoranyambaga yabanje gusetsa abantu, ibintu byaje guhindura isura mu gihe gito. Nicole yasobanuriye Dailymai ko yatutswe cyane ku mbuga nkoranyambaga. ""Narenganye… Bari abatumirwa bacu. Nk’uwabakiraga, nahaye icyo kunywa Beyoncé nyuma ngiha na Jay Z. Byabaye ngombwa ko nunama kugira ngo numve ibyo ambwira. Ni uko byagenze nta kindi cyo kongeraho."" Akimara kubona ko abareba amashusho yashyize ku nkuta ze za Twitter na Instagram ari kumwe n’ibi byamamare atishimiwe na benshi yabanje guhisha ibitekerezo abantu bandikaga ariko nyuma yo kubona ko hari abatangiye kuyashyira ku mbuga zabo ndetse harimo n’abamwifuriza gupfa ahitamo kuyasiba burundu, kugeza n’ubwo yavuye burundu kuri Instagram kugira ngo abone gutuza.

 Beyoncé yageze aho yegera umugabo we, Nicole yigizwa ku ruhande  Mu mashusho biragaragara ko Beyoncé yagerageje kwitambika ngo ababuze gukomeza kuvugana!
Birebe hano"
5,imyidagaduro,entertainment,http://www.igihe.com/imyidagaduro/imideli/article/uwase-wahagarariye-u-rwanda-muri-miss-supranational-2018-yitabiriye-irindi,Uwase wahagarariye u Rwanda muri Miss Supranational 2018 yitabiriye irindi rushanwa rikomeye," Uyu mukobwa ahatanye na bagenzi 16 baturutse mu bindi bihugu bitandukanye bitabira iri rushanwa riri kubera muri Pologne ari naho Uwase yiga muri kaminuza ya Wyższa Szkoła Bankowa yigisha ibyerekeye ubukungu. Uwase yabwiye IGIHE ko umukobwa uzahiga abandi azahabwa amajwi hakurikijwe uko yitwaye imbere y’akanama nkemurampaka, intambuko, ubwiza n’ukuntu ashyigikiwe ku mbuga nkoranyambaga z’irushanwa. Azahembwa amafaranga ataratangajwe umubare ndetse afotorwe bya kinyamwuga mu gihe cy’icyumweru ari mu butembere ku mucanga wa  Miami muri Leta Zunze Ubumwe za Amerika. Aba bakobwa bageze mu cyiciro cya nyuma bari 20, batatu barasezererwa kubera kutubahiriza igihe n’imyitozo. Uwase yavuze ko yiha amahirwe n’ubwo abona bitoroshye. Yagize ati “Birakomeye ariko amahirwe  ndayiha,  n’ubwo ntakubwira umubare njanishije kuko irushanwa aba ari irushanwa.” Umunsi ny’irizina wo gutora Miss Elite 2020, ni kuri uyu wa Gatandatu tariki 29 Gashyantare 2020. Hazatorwa Miss Elite n’ibisonga bye bibiri. Uwase ubusanzwe ni umunyamideli ndetse yegukanye ibihembo bitandukanye birimo icya Top Model Africa cyabereye muri Zimbabwe mu 2016 anitabira World Next Top Model 2017 ryabereye mu Mujyi wa Beirut muri Liban, aza mu bakobwa bageze mu cyiciro cya nyuma. Yitabiriye amarushanwa y’ubwiza nka Miss Supranational 2018 naho ntiyahirwa kuko atigeze aza mu myanya y’imbere."
